Date,small,medium,large,dryer
2024-01-01,9,5,6,26
2024-01-02,26,16,4,53
2024-01-03,11,5,5,18
2024-01-04,12,9,6,31
2024-01-05,20,8,6,27
2024-01-06,22,16,6,37
2024-01-07,20,18,8,44
2024-01-08,21,17,6,45
2024-01-09,25,8,3,32
2024-01-10,17,6,4,18
2024-01-11,10,4,1,16
2024-01-12,14,11,4,32
2024-01-13,13,10,5,25
2024-01-14,14,6,4,27
2024-01-15,23,7,8,34
2024-01-16,11,6,4,21
2024-01-17,12,10,13,30
2024-01-18,23,7,7,42
2024-01-19,11,6,8,26
2024-01-20,14,13,5,20
2024-01-21,21,13,11,41
2024-01-22,9,4,3,13
2024-01-23,15,15,4,37
2024-01-24,11,9,3,30
2024-01-25,16,7,10,25
2024-01-26,6,8,5,18
2024-01-27,20,11,6,39
2024-01-28,24,11,7,47
2024-01-29,21,14,5,42
2024-01-30,19,14,9,36
2024-01-31,17,13,10,40
2024-02-01,22,9,6,30
2024-02-02,11,11,7,26
2024-02-03,9,1,5,16
2024-02-04,27,13,6,39
2024-02-05,24,8,10,41
2024-02-06,10,3,5,20
2024-02-07,14,11,5,33
2024-02-08,21,11,2,40
2024-02-09,16,14,9,42
2024-02-10,23,5,12,37
2024-02-11,16,8,5,32
2024-02-12,13,4,2,25
2024-02-13,17,6,9,31
2024-02-14,17,14,12,40
2024-02-15,10,11,4,32
2024-02-16,6,3,6,18
2024-02-17,13,12,3,26
2024-02-18,13,8,1,23
2024-02-19,20,14,13,47
2024-02-20,16,15,8,46
2024-02-21,24,11,6,25
2024-02-22,16,10,7,46
2024-02-23,10,7,1,18
2024-02-24,9,6,2,16
2024-02-25,21,19,6,51
2024-02-26,15,5,8,32
2024-02-27,28,17,5,44
2024-02-28,8,6,4,15
2024-03-01,25,11,8,51
2024-03-02,20,12,4,41
2024-03-03,20,9,8,35
2024-03-04,17,12,7,30
2024-03-05,12,5,1,24
2024-03-06,25,8,3,36
2024-03-07,26,12,8,50
2024-03-08,11,14,2,35
2024-03-09,19,12,7,40
2024-03-10,9,3,5,22
2024-03-11,19,21,6,48
2024-03-12,17,15,8,42
2024-03-13,25,12,9,58
2024-03-14,20,12,4,43
2024-03-15,16,8,3,14
2024-03-16,23,13,10,48
2024-03-17,17,7,6,26
2024-03-18,17,8,7,32
2024-03-19,13,10,5,28
2024-03-20,8,3,4,17
2024-03-21,17,8,8,41
2024-03-22,28,16,11,47
2024-03-23,21,9,14,47
2024-03-24,12,10,3,20
2024-03-25,19,5,5,36
2024-03-26,13,8,6,20
2024-03-27,10,12,6,29
2024-03-28,11,4,2,27
2024-03-29,16,9,4,23
2024-03-30,20,12,15,53
2024-03-31,24,10,7,31
2024-04-01,14,4,7,23
2024-04-02,19,10,1,30
2024-04-03,25,14,8,48
2024-04-04,8,5,6,23
2024-04-05,16,6,4,32
2024-04-06,8,4,7,17
2024-04-07,19,13,9,36
2024-04-08,29,14,5,55
2024-04-09,18,7,10,36
2024-04-10,14,11,6,31
2024-04-11,5,7,6,17
2024-04-12,11,8,8,29
2024-04-13,9,4,13,26
2024-04-14,21,9,11,39
2024-04-15,13,8,4,25
2024-04-16,18,8,7,34
2024-04-17,12,12,6,31
2024-04-18,22,5,10,30
2024-04-19,8,5,8,17
2024-04-20,17,10,3,31
2024-04-21,13,3,3,20
2024-04-22,18,17,10,40
2024-04-23,24,20,5,48
2024-04-24,12,13,11,42
2024-04-25,15,12,8,38
2024-04-26,19,7,7,43
2024-04-27,11,7,4,19
2024-04-28,21,13,6,43
2024-04-29,21,10,5,42
2024-04-30,11,5,0,17
2024-05-01,11,9,4,22
2024-05-02,22,11,14,32
2024-05-03,17,20,8,43
2024-05-04,11,9,5,26
2024-05-05,18,5,9,25
2024-05-06,5,6,3,19
2024-05-07,9,14,6,18
2024-05-08,14,8,7,29
2024-05-09,15,12,5,43
2024-05-10,21,10,7,37
2024-05-11,13,6,4,24
2024-05-12,6,4,5,20
2024-05-13,25,13,4,48
2024-05-14,25,15,12,50
2024-05-15,12,4,6,21
2024-05-16,22,10,2,36
2024-05-17,24,9,5,29
2024-05-18,24,12,8,42
2024-05-19,22,15,6,51
2024-05-20,12,8,4,17
2024-05-21,11,6,7,20
2024-05-22,11,8,4,36
2024-05-23,17,19,4,39
2024-05-24,11,12,2,28
2024-05-25,12,15,9,34
2024-05-26,15,4,4,27
2024-05-27,10,9,4,24
2024-05-28,9,6,0,16
2024-05-29,7,9,4,10
2024-05-30,12,8,6,22
2024-05-31,9,4,5,22
2024-06-01,20,11,11,49
2024-06-02,11,3,7,16
2024-06-03,8,8,7,36
2024-06-04,24,13,9,53
2024-06-05,8,3,1,23
2024-06-06,22,16,11,49
2024-06-07,20,14,9,42
2024-06-08,22,7,7,37
2024-06-09,15,15,3,37
